id,fullname,email,phone,cccd,specialty,license_number,experience_years,certificate_info,clinic_id,status,note,submitted_at,reviewed_at,password_hash
11,BS. Lý Hồng Sơn,ly.hong.son68@medibook.vn,0900000011,001090000011,Nhi khoa,CCHN-00011,27,Bằng Y khoa,1,approved,Generated seed data,2026-06-05T01:40:35.694097,2026-06-05T01:40:35.694098,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
12,BS. Võ Thanh Hải,vo.thanh.hai76@medibook.vn,0900000012,001090000012,Hô hấp,CCHN-00012,24,Bằng Y khoa,5,approved,Generated seed data,2026-06-05T01:40:35.694126,2026-06-05T01:40:35.694127,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
13,BS. Hoàng Quang Tâm,hoang.quang.tam48@medibook.vn,0900000013,001090000013,Tiêu hóa - Gan mật,CCHN-00013,28,Bằng Y khoa,3,approved,Generated seed data,2026-06-05T01:40:35.694153,2026-06-05T01:40:35.694154,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
14,BS. Nguyễn Thị Huy,nguyen.thi.huy44@medibook.vn,0900000014,001090000014,Tai Mũi Họng,CCHN-00014,4,Bằng Y khoa,3,approved,Generated seed data,2026-06-05T01:40:35.694180,2026-06-05T01:40:35.694181,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
15,BS. Ngô Hữu Phương,ngo.huu.phuong19@medibook.vn,0900000015,001090000015,Dinh dưỡng,CCHN-00015,8,Bằng Y khoa,4,approved,Generated seed data,2026-06-05T01:40:35.694208,2026-06-05T01:40:35.694209,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
16,BS. Phan Minh Lan,phan.minh.lan19@medibook.vn,0900000016,001090000016,Sản phụ khoa,CCHN-00016,7,Bằng Y khoa,5,approved,Generated seed data,2026-06-05T01:40:35.694235,2026-06-05T01:40:35.694236,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
17,BS. Ngô Kim Giang,ngo.kim.giang39@medibook.vn,0900000017,001090000017,Ung bướu / Tầm soát ung thư,CCHN-00017,19,Bằng Y khoa,4,approved,Generated seed data,2026-06-05T01:40:35.694260,2026-06-05T01:40:35.694261,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
18,BS. Đỗ Anh Dũng,do.anh.dung21@medibook.vn,0900000018,001090000018,Sức khỏe tâm thần,CCHN-00018,27,Bằng Y khoa,2,approved,Generated seed data,2026-06-05T01:40:35.694287,2026-06-05T01:40:35.694288,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
19,BS. Phan Văn Giang,phan.van.giang54@medibook.vn,0900000019,001090000019,Tim mạch,CCHN-00019,31,Bằng Y khoa,1,approved,Generated seed data,2026-06-05T01:40:35.694314,2026-06-05T01:40:35.694315,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
20,BS. Dương Quốc Khánh,duong.quoc.khanh42@medibook.vn,0900000020,001090000020,Ngoại chấn thương chỉnh hình,CCHN-00020,9,Bằng Y khoa,3,approved,Generated seed data,2026-06-05T01:40:35.694340,2026-06-05T01:40:35.694341,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
21,BS. Trần Minh Sơn,tran.minh.son87@medibook.vn,0900000021,001090000021,Ngoại thần kinh / Cột sống,CCHN-00021,3,Bằng Y khoa,3,approved,Generated seed data,2026-06-05T01:40:35.694366,2026-06-05T01:40:35.694367,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
22,BS. Bùi Quang Dũng,bui.quang.dung89@medibook.vn,0900000022,001090000022,Răng Hàm Mặt,CCHN-00022,18,Bằng Y khoa,1,approved,Generated seed data,2026-06-05T01:40:35.694391,2026-06-05T01:40:35.694392,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
23,BS. Vũ Quang Minh,vu.quang.minh25@medibook.vn,0900000023,001090000023,Ngoại thần kinh / Cột sống,CCHN-00023,21,Bằng Y khoa,5,approved,Generated seed data,2026-06-05T01:40:35.694417,2026-06-05T01:40:35.694418,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
24,BS. Hoàng Thị Dũng,hoang.thi.dung27@medibook.vn,0900000024,001090000024,Ngoại chấn thương chỉnh hình,CCHN-00024,21,Bằng Y khoa,4,approved,Generated seed data,2026-06-05T01:40:35.694442,2026-06-05T01:40:35.694443,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
25,BS. Phạm Quang Huy,pham.quang.huy63@medibook.vn,0900000025,001090000025,Tiêu hóa - Gan mật,CCHN-00025,9,Bằng Y khoa,2,approved,Generated seed data,2026-06-05T01:40:35.694467,2026-06-05T01:40:35.694468,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
26,BS. Đặng Hữu Tuấn,dặng.huu.tuan46@medibook.vn,0900000026,001090000026,Thận - Tiết niệu,CCHN-00026,17,Bằng Y khoa,5,approved,Generated seed data,2026-06-05T01:40:35.694492,2026-06-05T01:40:35.694493,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
27,BS. Phạm Thanh Phương,pham.thanh.phuong31@medibook.vn,0900000027,001090000027,Mắt,CCHN-00027,16,Bằng Y khoa,3,approved,Generated seed data,2026-06-05T01:40:35.694519,2026-06-05T01:40:35.694520,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
28,BS. Hồ Quốc Lan,ho.quoc.lan74@medibook.vn,0900000028,001090000028,Thận - Tiết niệu,CCHN-00028,24,Bằng Y khoa,2,approved,Generated seed data,2026-06-05T01:40:35.694545,2026-06-05T01:40:35.694546,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
29,BS. Nguyễn Quang Nam,nguyen.quang.nam22@medibook.vn,0900000029,001090000029,Nội tiết,CCHN-00029,34,Bằng Y khoa,1,approved,Generated seed data,2026-06-05T01:40:35.694570,2026-06-05T01:40:35.694571,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
30,BS. Lê Đức Hà,lc.duc.ha44@medibook.vn,0900000030,001090000030,Y học cổ truyền,CCHN-00030,27,Bằng Y khoa,1,approved,Generated seed data,2026-06-05T01:40:35.694594,2026-06-05T01:40:35.694595,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
31,BS. Hoàng Anh Linh,hoang.anh.linh85@medibook.vn,0900000031,001090000031,Nội tiết,CCHN-00031,21,Bằng Y khoa,3,approved,Generated seed data,2026-06-05T01:40:35.694619,2026-06-05T01:40:35.694620,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
32,BS. Vũ Thị Vy,vu.thi.vy86@medibook.vn,0900000032,001090000032,Da liễu,CCHN-00032,3,Bằng Y khoa,5,approved,Generated seed data,2026-06-05T01:40:35.694642,2026-06-05T01:40:35.694643,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
33,BS. Phạm Văn Minh,pham.van.minh23@medibook.vn,0900000033,001090000033,Tai Mũi Họng,CCHN-00033,14,Bằng Y khoa,1,approved,Generated seed data,2026-06-05T01:40:35.694666,2026-06-05T01:40:35.694667,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
34,BS. Lý Kim Hải,ly.kim.hai14@medibook.vn,0900000034,001090000034,Tim mạch,CCHN-00034,4,Bằng Y khoa,2,approved,Generated seed data,2026-06-05T01:40:35.694690,2026-06-05T01:40:35.694691,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
35,BS. Hồ Thanh Cường,ho.thanh.cuong80@medibook.vn,0900000035,001090000035,Mắt,CCHN-00035,13,Bằng Y khoa,5,approved,Generated seed data,2026-06-05T01:40:35.694714,2026-06-05T01:40:35.694715,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
36,BS. Phan Hữu Nam,phan.huu.nam37@medibook.vn,0900000036,001090000036,Ung bướu / Tầm soát ung thư,CCHN-00036,13,Bằng Y khoa,3,approved,Generated seed data,2026-06-05T01:40:35.694739,2026-06-05T01:40:35.694740,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
37,BS. Hồ Anh Anh,ho.anh.anh61@medibook.vn,0900000037,001090000037,Hô hấp,CCHN-00037,23,Bằng Y khoa,3,approved,Generated seed data,2026-06-05T01:40:35.694763,2026-06-05T01:40:35.694764,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
38,BS. Vũ Văn Yến,vu.van.yen46@medibook.vn,0900000038,001090000038,Thần kinh,CCHN-00038,15,Bằng Y khoa,1,approved,Generated seed data,2026-06-05T01:40:35.694788,2026-06-05T01:40:35.694788,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
39,BS. Đỗ Đức Linh,do.duc.linh76@medibook.vn,0900000039,001090000039,Nội tiết,CCHN-00039,12,Bằng Y khoa,5,approved,Generated seed data,2026-06-05T01:40:35.694811,2026-06-05T01:40:35.694812,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
40,BS. Nguyễn Minh Nam,nguyen.minh.nam70@medibook.vn,0900000040,001090000040,Thận - Tiết niệu,CCHN-00040,20,Bằng Y khoa,5,approved,Generated seed data,2026-06-05T01:40:35.694835,2026-06-05T01:40:35.694836,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
41,BS. Ngô Quốc Giang,ngo.quoc.giang17@medibook.vn,0900000041,001090000041,Nội tổng quát,CCHN-00041,26,Bằng Y khoa,2,approved,Generated seed data,2026-06-05T01:40:35.694861,2026-06-05T01:40:35.694862,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
42,BS. Đỗ Hữu Thảo,do.huu.thao48@medibook.vn,0900000042,001090000042,Mắt,CCHN-00042,14,Bằng Y khoa,1,approved,Generated seed data,2026-06-05T01:40:35.694886,2026-06-05T01:40:35.694887,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
43,BS. Bùi Hồng Cường,bui.hong.cuong66@medibook.vn,0900000043,001090000043,Nội tổng quát,CCHN-00043,19,Bằng Y khoa,3,approved,Generated seed data,2026-06-05T01:40:35.694910,2026-06-05T01:40:35.694920,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
44,BS. Hoàng Đức Bình,hoang.duc.binh55@medibook.vn,0900000044,001090000044,Sức khỏe tâm thần,CCHN-00044,32,Bằng Y khoa,2,approved,Generated seed data,2026-06-05T01:40:35.694951,2026-06-05T01:40:35.694952,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
45,BS. Đặng Đức Giang,dặng.duc.giang49@medibook.vn,0900000045,001090000045,Nội tiết,CCHN-00045,20,Bằng Y khoa,5,approved,Generated seed data,2026-06-05T01:40:35.694977,2026-06-05T01:40:35.694978,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
46,BS. Võ Đức Huy,vo.duc.huy67@medibook.vn,0900000046,001090000046,Mắt,CCHN-00046,18,Bằng Y khoa,1,approved,Generated seed data,2026-06-05T01:40:35.695008,2026-06-05T01:40:35.695008,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
47,BS. Đặng Đức Hà,dặng.duc.ha77@medibook.vn,0900000047,001090000047,Mắt,CCHN-00047,26,Bằng Y khoa,5,approved,Generated seed data,2026-06-05T01:40:35.695035,2026-06-05T01:40:35.695035,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
48,BS. Ngô Quang Sơn,ngo.quang.son20@medibook.vn,0900000048,001090000048,Da liễu,CCHN-00048,32,Bằng Y khoa,1,approved,Generated seed data,2026-06-05T01:40:35.695060,2026-06-05T01:40:35.695061,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
49,BS. Đặng Hồng Hải,dặng.hong.hai68@medibook.vn,0900000049,001090000049,Sản phụ khoa,CCHN-00049,35,Bằng Y khoa,5,approved,Generated seed data,2026-06-05T01:40:35.695086,2026-06-05T01:40:35.695086,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
50,BS. Trần Kim Trang,tran.kim.trang55@medibook.vn,0900000050,001090000050,Ngoại thần kinh / Cột sống,CCHN-00050,9,Bằng Y khoa,5,approved,Generated seed data,2026-06-05T01:40:35.695111,2026-06-05T01:40:35.695111,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
51,BS. Bùi Văn Hùng,bui.van.hung53@medibook.vn,0900000051,001090000051,Da liễu,CCHN-00051,14,Bằng Y khoa,3,approved,Generated seed data,2026-06-05T01:40:35.695135,2026-06-05T01:40:35.695136,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
52,BS. Vũ Văn Trang,vu.van.trang97@medibook.vn,0900000052,001090000052,Dinh dưỡng,CCHN-00052,20,Bằng Y khoa,4,approved,Generated seed data,2026-06-05T01:40:35.695160,2026-06-05T01:40:35.695161,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
53,BS. Hồ Thị Lan,ho.thi.lan54@medibook.vn,0900000053,001090000053,Ung bướu / Tầm soát ung thư,CCHN-00053,14,Bằng Y khoa,3,approved,Generated seed data,2026-06-05T01:40:35.695186,2026-06-05T01:40:35.695187,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
54,BS. Phạm Hữu Hà,pham.huu.ha42@medibook.vn,0900000054,001090000054,Mắt,CCHN-00054,26,Bằng Y khoa,5,approved,Generated seed data,2026-06-05T01:40:35.695226,2026-06-05T01:40:35.695228,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
55,BS. Lý Thị Thảo,ly.thi.thao18@medibook.vn,0900000055,001090000055,Mắt,CCHN-00055,21,Bằng Y khoa,1,approved,Generated seed data,2026-06-05T01:40:35.695263,2026-06-05T01:40:35.695264,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
56,BS. Phan Hồng Giang,phan.hong.giang72@medibook.vn,0900000056,001090000056,Dinh dưỡng,CCHN-00056,31,Bằng Y khoa,1,approved,Generated seed data,2026-06-05T01:40:35.695464,2026-06-05T01:40:35.695467,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
57,BS. Ngô Thanh Tuấn,ngo.thanh.tuan40@medibook.vn,0900000057,001090000057,Dinh dưỡng,CCHN-00057,21,Bằng Y khoa,5,approved,Generated seed data,2026-06-05T01:40:35.695518,2026-06-05T01:40:35.695519,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
58,BS. Ngô Minh Thảo,ngo.minh.thao16@medibook.vn,0900000058,001090000058,Phục hồi chức năng,CCHN-00058,33,Bằng Y khoa,4,approved,Generated seed data,2026-06-05T01:40:35.695552,2026-06-05T01:40:35.695553,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
59,BS. Đặng Thị Tuấn,dặng.thi.tuan59@medibook.vn,0900000059,001090000059,Ung bướu / Tầm soát ung thư,CCHN-00059,4,Bằng Y khoa,5,approved,Generated seed data,2026-06-05T01:40:35.695582,2026-06-05T01:40:35.695583,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
60,BS. Đỗ Thanh Bình,do.thanh.binh94@medibook.vn,0900000060,001090000060,Nội tổng quát,CCHN-00060,4,Bằng Y khoa,3,approved,Generated seed data,2026-06-05T01:40:35.695609,2026-06-05T01:40:35.695610,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
61,BS. Hoàng Đức Vy,hoang.duc.vy34@medibook.vn,0900000061,001090000061,Hô hấp,CCHN-00061,30,Bằng Y khoa,1,approved,Generated seed data,2026-06-05T01:40:35.695636,2026-06-05T01:40:35.695637,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
62,BS. Võ Văn Lan,vo.van.lan18@medibook.vn,0900000062,001090000062,Nội tổng quát,CCHN-00062,21,Bằng Y khoa,1,approved,Generated seed data,2026-06-05T01:40:35.695663,2026-06-05T01:40:35.695664,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
63,BS. Phan Anh Tâm,phan.anh.tam82@medibook.vn,0900000063,001090000063,Tim mạch,CCHN-00063,19,Bằng Y khoa,1,approved,Generated seed data,2026-06-05T01:40:35.695689,2026-06-05T01:40:35.695690,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
64,BS. Đặng Thanh Lan,dặng.thanh.lan38@medibook.vn,0900000064,001090000064,Y học cổ truyền,CCHN-00064,30,Bằng Y khoa,1,approved,Generated seed data,2026-06-05T01:40:35.695716,2026-06-05T01:40:35.695716,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
65,BS. Lý Quang Sơn,ly.quang.son21@medibook.vn,0900000065,001090000065,Nội tiết,CCHN-00065,27,Bằng Y khoa,2,approved,Generated seed data,2026-06-05T01:40:35.695742,2026-06-05T01:40:35.695743,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
66,BS. Võ Thị Khánh,vo.thi.khanh52@medibook.vn,0900000066,001090000066,Tai Mũi Họng,CCHN-00066,28,Bằng Y khoa,1,approved,Generated seed data,2026-06-05T01:40:35.695781,2026-06-05T01:40:35.695782,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
67,BS. Nguyễn Đức Trang,nguyen.duc.trang56@medibook.vn,0900000067,001090000067,Ngoại thần kinh / Cột sống,CCHN-00067,21,Bằng Y khoa,5,approved,Generated seed data,2026-06-05T01:40:35.695808,2026-06-05T01:40:35.695810,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
68,BS. Hồ Hữu Dũng,ho.huu.dung49@medibook.vn,0900000068,001090000068,Nội tiết,CCHN-00068,17,Bằng Y khoa,5,approved,Generated seed data,2026-06-05T01:40:35.695836,2026-06-05T01:40:35.695838,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
69,BS. Phạm Anh Cường,pham.anh.cuong89@medibook.vn,0900000069,001090000069,Ung bướu / Tầm soát ung thư,CCHN-00069,4,Bằng Y khoa,1,approved,Generated seed data,2026-06-05T01:40:35.695865,2026-06-05T01:40:35.695866,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
70,BS. Đặng Đức Anh,dặng.duc.anh72@medibook.vn,0900000070,001090000070,Nội tổng quát,CCHN-00070,5,Bằng Y khoa,3,approved,Generated seed data,2026-06-05T01:40:35.695894,2026-06-05T01:40:35.695895,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
71,BS. Võ Anh Hùng,vo.anh.hung82@medibook.vn,0900000071,001090000071,Ung bướu / Tầm soát ung thư,CCHN-00071,32,Bằng Y khoa,2,approved,Generated seed data,2026-06-05T01:40:35.695920,2026-06-05T01:40:35.695921,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
72,BS. Nguyễn Thị Thảo,nguyen.thi.thao14@medibook.vn,0900000072,001090000072,Tai Mũi Họng,CCHN-00072,34,Bằng Y khoa,3,approved,Generated seed data,2026-06-05T01:40:35.695946,2026-06-05T01:40:35.695947,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
73,BS. Lý Đức Anh,ly.duc.anh21@medibook.vn,0900000073,001090000073,Y học cổ truyền,CCHN-00073,31,Bằng Y khoa,3,approved,Generated seed data,2026-06-05T01:40:35.695975,2026-06-05T01:40:35.695976,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
74,BS. Ngô Thị Nam,ngo.thi.nam35@medibook.vn,0900000074,001090000074,Tai Mũi Họng,CCHN-00074,26,Bằng Y khoa,2,approved,Generated seed data,2026-06-05T01:40:35.696003,2026-06-05T01:40:35.696004,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
75,BS. Võ Anh Phong,vo.anh.phong74@medibook.vn,0900000075,001090000075,Ung bướu / Tầm soát ung thư,CCHN-00075,9,Bằng Y khoa,3,approved,Generated seed data,2026-06-05T01:40:35.696030,2026-06-05T01:40:35.696031,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
76,BS. Phan Kim Huy,phan.kim.huy80@medibook.vn,0900000076,001090000076,Thận - Tiết niệu,CCHN-00076,5,Bằng Y khoa,5,approved,Generated seed data,2026-06-05T01:40:35.696058,2026-06-05T01:40:35.696059,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
77,BS. Vũ Đức Giang,vu.duc.giang25@medibook.vn,0900000077,001090000077,Tiêu hóa - Gan mật,CCHN-00077,28,Bằng Y khoa,1,approved,Generated seed data,2026-06-05T01:40:35.696086,2026-06-05T01:40:35.696087,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
