id,name,specialty_id,specialty_name,clinic_id,experience_years,rating,symptoms,email
16,BS. Phạm Hoài Hải,11,Ung bướu,1,22,4.2,"Tầm soát ung thư, khối u, xạ trị",bs.c1.s11.16@medibook.vn
17,BS. Bùi Thanh Anh,12,Nam khoa,1,29,4.8,"Rối loạn cương dương, hiếm muộn, viêm nhiễm nam khoa",bs.c1.s12.17@medibook.vn
18,BS. Lê Văn Yến,13,Nha khoa,1,20,4.8,"Sâu răng, nhổ răng, niềng răng, viêm nướu",bs.c1.s13.18@medibook.vn
19,BS. Võ Quang Hòa,14,Thận - Tiết niệu,1,20,4.8,"Sỏi thận, tiểu đêm, viêm đường tiết niệu",bs.c1.s14.19@medibook.vn
20,BS. Đỗ Thanh Oanh,15,Hô hấp,1,10,4.2,"Hen suyễn, viêm phế quản, COPD, ho kéo dài",bs.c1.s15.20@medibook.vn
21,BS. Vũ Đình Lan,15,Hô hấp,1,25,4.6,"Hen suyễn, viêm phế quản, COPD, ho kéo dài",bs.c1.s15.21@medibook.vn
22,BS. Bùi Văn Oanh,16,Chấn thương chỉnh hình,1,24,4.5,"Gãy xương, bong gân, chấn thương thể thao",bs.c1.s16.22@medibook.vn
23,BS. Lý Thành Bình,17,Phục hồi chức năng,1,6,4.7,"Vật lý trị liệu, phục hồi sau tai biến",bs.c1.s17.23@medibook.vn
24,BS. Dương Hoài Tuấn,18,Y học cổ truyền,1,6,4.1,"Châm cứu, bấm huyệt, bốc thuốc nam/bắc",bs.c1.s18.24@medibook.vn
25,BS. Vũ Minh Hương,18,Y học cổ truyền,1,7,4.4,"Châm cứu, bấm huyệt, bốc thuốc nam/bắc",bs.c1.s18.25@medibook.vn
26,BS. Lê Thanh Khang,19,Nội tiết,1,23,5.0,"Tiểu đường, tuyến giáp, rối loạn chuyển hóa",bs.c1.s19.26@medibook.vn
27,BS. Huỳnh Xuân Yến,20,Truyền nhiễm,1,30,4.4,"Sốt xuất huyết, viêm gan, bệnh nhiệt đới",bs.c1.s20.27@medibook.vn
28,BS. Nguyễn Xuân Hùng,21,Dị ứng - Miễn dịch,1,16,4.7,"Dị ứng thời tiết, dị ứng thuốc, lupus",bs.c1.s21.28@medibook.vn
29,BS. Phan Đức Hương,21,Dị ứng - Miễn dịch,1,26,4.5,"Dị ứng thời tiết, dị ứng thuốc, lupus",bs.c1.s21.29@medibook.vn
30,BS. Lý Quang Oanh,22,Dinh dưỡng,1,19,4.1,"Tư vấn chế độ ăn, giảm cân, suy dinh dưỡng",bs.c1.s22.30@medibook.vn
31,BS. Vũ Xuân Trang,1,Nội tổng quát,2,21,4.6,"Sốt, đau đầu, mệt mỏi, khám sức khỏe định kỳ",bs.c2.s1.31@medibook.vn
32,BS. Võ Minh Dũng,2,Tim mạch,2,15,4.1,"Đau ngực, huyết áp, loạn nhịp tim, khó thở",bs.c2.s2.32@medibook.vn
33,BS. Bùi Quỳnh Linh,2,Tim mạch,2,22,5.0,"Đau ngực, huyết áp, loạn nhịp tim, khó thở",bs.c2.s2.33@medibook.vn
34,BS. Võ Hữu Thảo,3,Da liễu,2,14,4.3,"Mẩn ngứa, dị ứng, mụn nhọt, rụng tóc",bs.c2.s3.34@medibook.vn
35,BS. Nguyễn Hải Khang,4,Cơ xương khớp,2,6,4.9,"Đau lưng, đau khớp, thoái hóa, gout",bs.c2.s4.35@medibook.vn
36,BS. Phạm Quỳnh Trang,4,Cơ xương khớp,2,11,4.3,"Đau lưng, đau khớp, thoái hóa, gout",bs.c2.s4.36@medibook.vn
37,BS. Võ Quang Yến,5,Tiêu hóa,2,5,4.6,"Đau dạ dày, tiêu chảy, táo bón, ợ hơi",bs.c2.s5.37@medibook.vn
38,BS. Bùi Thành Minh,6,Tai Mũi Họng,2,8,4.7,"Viêm họng, viêm xoang, ù tai, nghẹt mũi",bs.c2.s6.38@medibook.vn
39,BS. Phạm Văn Minh,7,Thần kinh,2,29,4.4,"Đau đầu, chóng mặt, mất ngủ, rối loạn tiền đình",bs.c2.s7.39@medibook.vn
40,BS. Trần Đức Thảo,8,Nhi khoa,2,9,4.7,"Sốt, ho, biếng ăn, tiêm chủng trẻ em",bs.c2.s8.40@medibook.vn
41,BS. Hoàng Quỳnh Lan,9,Sản phụ khoa,2,28,4.2,"Khám thai, rối loạn kinh nguyệt, phụ khoa",bs.c2.s9.41@medibook.vn
42,BS. Huỳnh Tuấn Dũng,9,Sản phụ khoa,2,24,4.9,"Khám thai, rối loạn kinh nguyệt, phụ khoa",bs.c2.s9.42@medibook.vn
43,BS. Phạm Xuân Tuấn,10,Nhãn khoa,2,9,4.8,"Cận thị, đục thủy tinh thể, viêm kết mạc",bs.c2.s10.43@medibook.vn
44,BS. Vũ Minh Anh,11,Ung bướu,2,15,4.3,"Tầm soát ung thư, khối u, xạ trị",bs.c2.s11.44@medibook.vn
45,BS. Đỗ Hải Oanh,11,Ung bướu,2,29,4.5,"Tầm soát ung thư, khối u, xạ trị",bs.c2.s11.45@medibook.vn
46,BS. Huỳnh Đình Hùng,12,Nam khoa,2,22,4.4,"Rối loạn cương dương, hiếm muộn, viêm nhiễm nam khoa",bs.c2.s12.46@medibook.vn
47,BS. Phạm Xuân Tâm,12,Nam khoa,2,4,4.7,"Rối loạn cương dương, hiếm muộn, viêm nhiễm nam khoa",bs.c2.s12.47@medibook.vn
48,BS. Đỗ Xuân Linh,13,Nha khoa,2,22,4.3,"Sâu răng, nhổ răng, niềng răng, viêm nướu",bs.c2.s13.48@medibook.vn
49,BS. Ngô Ngọc Phương,14,Thận - Tiết niệu,2,7,4.2,"Sỏi thận, tiểu đêm, viêm đường tiết niệu",bs.c2.s14.49@medibook.vn
50,BS. Đặng Xuân Khang,14,Thận - Tiết niệu,2,12,4.2,"Sỏi thận, tiểu đêm, viêm đường tiết niệu",bs.c2.s14.50@medibook.vn
51,BS. Dương Hải Hương,15,Hô hấp,2,28,4.9,"Hen suyễn, viêm phế quản, COPD, ho kéo dài",bs.c2.s15.51@medibook.vn
52,BS. Đặng Quang Hòa,15,Hô hấp,2,29,5.0,"Hen suyễn, viêm phế quản, COPD, ho kéo dài",bs.c2.s15.52@medibook.vn
53,BS. Phan Hữu Anh,16,Chấn thương chỉnh hình,2,18,4.6,"Gãy xương, bong gân, chấn thương thể thao",bs.c2.s16.53@medibook.vn
54,BS. Phan Tuấn Phương,17,Phục hồi chức năng,2,10,4.1,"Vật lý trị liệu, phục hồi sau tai biến",bs.c2.s17.54@medibook.vn
55,BS. Ngô Minh Cường,17,Phục hồi chức năng,2,4,4.6,"Vật lý trị liệu, phục hồi sau tai biến",bs.c2.s17.55@medibook.vn
56,BS. Dương Hải Oanh,18,Y học cổ truyền,2,13,5.0,"Châm cứu, bấm huyệt, bốc thuốc nam/bắc",bs.c2.s18.56@medibook.vn
57,BS. Dương Quỳnh Cường,19,Nội tiết,2,11,4.8,"Tiểu đường, tuyến giáp, rối loạn chuyển hóa",bs.c2.s19.57@medibook.vn
58,BS. Lý Hải Lan,19,Nội tiết,2,5,4.7,"Tiểu đường, tuyến giáp, rối loạn chuyển hóa",bs.c2.s19.58@medibook.vn
59,BS. Bùi Quỳnh Khang,20,Truyền nhiễm,2,7,4.2,"Sốt xuất huyết, viêm gan, bệnh nhiệt đới",bs.c2.s20.59@medibook.vn
60,BS. Lê Xuân Bình,20,Truyền nhiễm,2,17,4.4,"Sốt xuất huyết, viêm gan, bệnh nhiệt đới",bs.c2.s20.60@medibook.vn
61,BS. Nguyễn Hoài Tâm,21,Dị ứng - Miễn dịch,2,3,4.9,"Dị ứng thời tiết, dị ứng thuốc, lupus",bs.c2.s21.61@medibook.vn
62,BS. Ngô Quang Khang,21,Dị ứng - Miễn dịch,2,18,4.2,"Dị ứng thời tiết, dị ứng thuốc, lupus",bs.c2.s21.62@medibook.vn
63,BS. Hồ Ngọc Phương,22,Dinh dưỡng,2,7,5.0,"Tư vấn chế độ ăn, giảm cân, suy dinh dưỡng",bs.c2.s22.63@medibook.vn
64,BS. Lê Hải Bình,1,Nội tổng quát,3,8,4.1,"Sốt, đau đầu, mệt mỏi, khám sức khỏe định kỳ",bs.c3.s1.64@medibook.vn
65,BS. Dương Ngọc Dũng,2,Tim mạch,3,27,5.0,"Đau ngực, huyết áp, loạn nhịp tim, khó thở",bs.c3.s2.65@medibook.vn
66,BS. Lý Thị Khang,3,Da liễu,3,10,4.7,"Mẩn ngứa, dị ứng, mụn nhọt, rụng tóc",bs.c3.s3.66@medibook.vn
67,BS. Phan Hoài Anh,4,Cơ xương khớp,3,10,4.1,"Đau lưng, đau khớp, thoái hóa, gout",bs.c3.s4.67@medibook.vn
68,BS. Võ Thành Thảo,5,Tiêu hóa,3,22,5.0,"Đau dạ dày, tiêu chảy, táo bón, ợ hơi",bs.c3.s5.68@medibook.vn
69,BS. Đặng Văn Tâm,5,Tiêu hóa,3,21,4.7,"Đau dạ dày, tiêu chảy, táo bón, ợ hơi",bs.c3.s5.69@medibook.vn
70,BS. Lê Đình Lan,6,Tai Mũi Họng,3,27,4.3,"Viêm họng, viêm xoang, ù tai, nghẹt mũi",bs.c3.s6.70@medibook.vn
71,BS. Ngô Hải Thảo,7,Thần kinh,3,23,4.3,"Đau đầu, chóng mặt, mất ngủ, rối loạn tiền đình",bs.c3.s7.71@medibook.vn
72,BS. Phạm Xuân Thảo,7,Thần kinh,3,17,4.7,"Đau đầu, chóng mặt, mất ngủ, rối loạn tiền đình",bs.c3.s7.72@medibook.vn
73,BS. Lý Thanh Bình,8,Nhi khoa,3,13,4.9,"Sốt, ho, biếng ăn, tiêm chủng trẻ em",bs.c3.s8.73@medibook.vn
74,BS. Dương Minh Châu,8,Nhi khoa,3,24,4.4,"Sốt, ho, biếng ăn, tiêm chủng trẻ em",bs.c3.s8.74@medibook.vn
75,BS. Huỳnh Thanh Hương,9,Sản phụ khoa,3,11,4.3,"Khám thai, rối loạn kinh nguyệt, phụ khoa",bs.c3.s9.75@medibook.vn
76,BS. Nguyễn Quang Hương,9,Sản phụ khoa,3,26,4.4,"Khám thai, rối loạn kinh nguyệt, phụ khoa",bs.c3.s9.76@medibook.vn
77,BS. Dương Thành Anh,10,Nhãn khoa,3,10,4.4,"Cận thị, đục thủy tinh thể, viêm kết mạc",bs.c3.s10.77@medibook.vn
78,BS. Đỗ Thanh Khang,10,Nhãn khoa,3,16,5.0,"Cận thị, đục thủy tinh thể, viêm kết mạc",bs.c3.s10.78@medibook.vn
79,BS. Võ Đức Hùng,11,Ung bướu,3,26,4.2,"Tầm soát ung thư, khối u, xạ trị",bs.c3.s11.79@medibook.vn
80,BS. Huỳnh Minh Hương,11,Ung bướu,3,26,4.6,"Tầm soát ung thư, khối u, xạ trị",bs.c3.s11.80@medibook.vn
81,BS. Đặng Minh Thảo,12,Nam khoa,3,3,4.7,"Rối loạn cương dương, hiếm muộn, viêm nhiễm nam khoa",bs.c3.s12.81@medibook.vn
82,BS. Trần Quang Hải,13,Nha khoa,3,30,4.8,"Sâu răng, nhổ răng, niềng răng, viêm nướu",bs.c3.s13.82@medibook.vn
83,BS. Lý Thanh Châu,14,Thận - Tiết niệu,3,4,4.3,"Sỏi thận, tiểu đêm, viêm đường tiết niệu",bs.c3.s14.83@medibook.vn
84,BS. Lê Xuân Yến,14,Thận - Tiết niệu,3,23,4.7,"Sỏi thận, tiểu đêm, viêm đường tiết niệu",bs.c3.s14.84@medibook.vn
85,BS. Lê Minh Trang,15,Hô hấp,3,16,4.6,"Hen suyễn, viêm phế quản, COPD, ho kéo dài",bs.c3.s15.85@medibook.vn
86,BS. Hồ Thanh Châu,15,Hô hấp,3,16,4.3,"Hen suyễn, viêm phế quản, COPD, ho kéo dài",bs.c3.s15.86@medibook.vn
87,BS. Phan Đức Linh,16,Chấn thương chỉnh hình,3,8,4.6,"Gãy xương, bong gân, chấn thương thể thao",bs.c3.s16.87@medibook.vn
88,BS. Dương Tuấn Hòa,17,Phục hồi chức năng,3,4,4.2,"Vật lý trị liệu, phục hồi sau tai biến",bs.c3.s17.88@medibook.vn
89,BS. Lê Hải Lan,17,Phục hồi chức năng,3,28,4.6,"Vật lý trị liệu, phục hồi sau tai biến",bs.c3.s17.89@medibook.vn
90,BS. Vũ Hải Minh,18,Y học cổ truyền,3,7,4.1,"Châm cứu, bấm huyệt, bốc thuốc nam/bắc",bs.c3.s18.90@medibook.vn
91,BS. Dương Văn Châu,19,Nội tiết,3,15,4.9,"Tiểu đường, tuyến giáp, rối loạn chuyển hóa",bs.c3.s19.91@medibook.vn
92,BS. Lê Đình Tuấn,19,Nội tiết,3,13,4.6,"Tiểu đường, tuyến giáp, rối loạn chuyển hóa",bs.c3.s19.92@medibook.vn
93,BS. Nguyễn Thành Hùng,20,Truyền nhiễm,3,27,4.8,"Sốt xuất huyết, viêm gan, bệnh nhiệt đới",bs.c3.s20.93@medibook.vn
94,BS. Võ Hữu Tâm,21,Dị ứng - Miễn dịch,3,29,4.5,"Dị ứng thời tiết, dị ứng thuốc, lupus",bs.c3.s21.94@medibook.vn
95,BS. Đỗ Xuân Dũng,21,Dị ứng - Miễn dịch,3,6,4.9,"Dị ứng thời tiết, dị ứng thuốc, lupus",bs.c3.s21.95@medibook.vn
96,BS. Đặng Hải Phương,22,Dinh dưỡng,3,17,4.1,"Tư vấn chế độ ăn, giảm cân, suy dinh dưỡng",bs.c3.s22.96@medibook.vn
97,BS. Phạm Thành Phương,22,Dinh dưỡng,3,3,4.7,"Tư vấn chế độ ăn, giảm cân, suy dinh dưỡng",bs.c3.s22.97@medibook.vn
98,BS. Phan Quang Thảo,1,Nội tổng quát,4,18,4.6,"Sốt, đau đầu, mệt mỏi, khám sức khỏe định kỳ",bs.c4.s1.98@medibook.vn
99,BS. Hoàng Quỳnh Hải,2,Tim mạch,4,18,4.1,"Đau ngực, huyết áp, loạn nhịp tim, khó thở",bs.c4.s2.99@medibook.vn
100,BS. Đặng Quang Anh,2,Tim mạch,4,5,4.2,"Đau ngực, huyết áp, loạn nhịp tim, khó thở",bs.c4.s2.100@medibook.vn
101,BS. Hoàng Thanh Hải,3,Da liễu,4,11,4.4,"Mẩn ngứa, dị ứng, mụn nhọt, rụng tóc",bs.c4.s3.101@medibook.vn
102,BS. Dương Quang Minh,4,Cơ xương khớp,4,22,4.5,"Đau lưng, đau khớp, thoái hóa, gout",bs.c4.s4.102@medibook.vn
103,BS. Ngô Ngọc Oanh,5,Tiêu hóa,4,3,4.3,"Đau dạ dày, tiêu chảy, táo bón, ợ hơi",bs.c4.s5.103@medibook.vn
104,BS. Hoàng Thanh Khang,5,Tiêu hóa,4,13,4.6,"Đau dạ dày, tiêu chảy, táo bón, ợ hơi",bs.c4.s5.104@medibook.vn
105,BS. Phan Tuấn Lan,6,Tai Mũi Họng,4,10,4.9,"Viêm họng, viêm xoang, ù tai, nghẹt mũi",bs.c4.s6.105@medibook.vn
106,BS. Bùi Tuấn Yến,6,Tai Mũi Họng,4,24,4.8,"Viêm họng, viêm xoang, ù tai, nghẹt mũi",bs.c4.s6.106@medibook.vn
107,BS. Hoàng Quang Tâm,7,Thần kinh,4,30,4.8,"Đau đầu, chóng mặt, mất ngủ, rối loạn tiền đình",bs.c4.s7.107@medibook.vn
108,BS. Nguyễn Tuấn Minh,8,Nhi khoa,4,7,4.1,"Sốt, ho, biếng ăn, tiêm chủng trẻ em",bs.c4.s8.108@medibook.vn
109,BS. Hồ Hải Linh,8,Nhi khoa,4,30,4.5,"Sốt, ho, biếng ăn, tiêm chủng trẻ em",bs.c4.s8.109@medibook.vn
110,BS. Lê Minh Hải,9,Sản phụ khoa,4,5,4.4,"Khám thai, rối loạn kinh nguyệt, phụ khoa",bs.c4.s9.110@medibook.vn
111,BS. Huỳnh Tuấn Hải,10,Nhãn khoa,4,13,4.8,"Cận thị, đục thủy tinh thể, viêm kết mạc",bs.c4.s10.111@medibook.vn
112,BS. Đỗ Xuân Minh,10,Nhãn khoa,4,16,4.6,"Cận thị, đục thủy tinh thể, viêm kết mạc",bs.c4.s10.112@medibook.vn
113,BS. Lê Đình Phương,11,Ung bướu,4,10,4.5,"Tầm soát ung thư, khối u, xạ trị",bs.c4.s11.113@medibook.vn
114,BS. Võ Thanh Hùng,12,Nam khoa,4,28,4.5,"Rối loạn cương dương, hiếm muộn, viêm nhiễm nam khoa",bs.c4.s12.114@medibook.vn
115,BS. Huỳnh Văn Châu,12,Nam khoa,4,12,4.6,"Rối loạn cương dương, hiếm muộn, viêm nhiễm nam khoa",bs.c4.s12.115@medibook.vn
116,BS. Đặng Minh Phương,13,Nha khoa,4,10,4.4,"Sâu răng, nhổ răng, niềng răng, viêm nướu",bs.c4.s13.116@medibook.vn
117,BS. Đặng Thị Phương,13,Nha khoa,4,21,4.9,"Sâu răng, nhổ răng, niềng răng, viêm nướu",bs.c4.s13.117@medibook.vn
118,BS. Vũ Đình Thảo,14,Thận - Tiết niệu,4,9,4.6,"Sỏi thận, tiểu đêm, viêm đường tiết niệu",bs.c4.s14.118@medibook.vn
119,BS. Trần Đức Châu,14,Thận - Tiết niệu,4,14,4.7,"Sỏi thận, tiểu đêm, viêm đường tiết niệu",bs.c4.s14.119@medibook.vn
120,BS. Ngô Hữu Hương,15,Hô hấp,4,20,4.9,"Hen suyễn, viêm phế quản, COPD, ho kéo dài",bs.c4.s15.120@medibook.vn
121,BS. Võ Hoài Cường,15,Hô hấp,4,18,5.0,"Hen suyễn, viêm phế quản, COPD, ho kéo dài",bs.c4.s15.121@medibook.vn
122,BS. Dương Văn Minh,16,Chấn thương chỉnh hình,4,26,4.7,"Gãy xương, bong gân, chấn thương thể thao",bs.c4.s16.122@medibook.vn
123,BS. Lê Thành Phương,17,Phục hồi chức năng,4,20,4.1,"Vật lý trị liệu, phục hồi sau tai biến",bs.c4.s17.123@medibook.vn
124,BS. Hồ Hoài Thảo,17,Phục hồi chức năng,4,10,4.5,"Vật lý trị liệu, phục hồi sau tai biến",bs.c4.s17.124@medibook.vn
125,BS. Dương Quỳnh Hải,18,Y học cổ truyền,4,6,4.1,"Châm cứu, bấm huyệt, bốc thuốc nam/bắc",bs.c4.s18.125@medibook.vn
126,BS. Phạm Văn Lan,19,Nội tiết,4,15,4.5,"Tiểu đường, tuyến giáp, rối loạn chuyển hóa",bs.c4.s19.126@medibook.vn
127,BS. Ngô Hải Trang,19,Nội tiết,4,16,4.9,"Tiểu đường, tuyến giáp, rối loạn chuyển hóa",bs.c4.s19.127@medibook.vn
128,BS. Phan Thanh Châu,20,Truyền nhiễm,4,6,5.0,"Sốt xuất huyết, viêm gan, bệnh nhiệt đới",bs.c4.s20.128@medibook.vn
129,BS. Đỗ Thị Phương,20,Truyền nhiễm,4,6,4.9,"Sốt xuất huyết, viêm gan, bệnh nhiệt đới",bs.c4.s20.129@medibook.vn
130,BS. Nguyễn Thị Dũng,21,Dị ứng - Miễn dịch,4,28,4.6,"Dị ứng thời tiết, dị ứng thuốc, lupus",bs.c4.s21.130@medibook.vn
131,BS. Phan Hoài Lan,22,Dinh dưỡng,4,7,4.8,"Tư vấn chế độ ăn, giảm cân, suy dinh dưỡng",bs.c4.s22.131@medibook.vn
132,BS. Hoàng Quang Hùng,8,Nhi khoa,5,24,4.9,"Sốt, ho, biếng ăn, tiêm chủng trẻ em",bs.c5.s8.132@medibook.vn
133,BS. Vũ Đình Dũng,9,Sản phụ khoa,5,11,4.1,"Khám thai, rối loạn kinh nguyệt, phụ khoa",bs.c5.s9.133@medibook.vn
134,BS. Phạm Tuấn Linh,9,Sản phụ khoa,5,27,4.4,"Khám thai, rối loạn kinh nguyệt, phụ khoa",bs.c5.s9.134@medibook.vn
135,BS. Trần Tuấn Oanh,1,Nội tổng quát,6,23,5.0,"Sốt, đau đầu, mệt mỏi, khám sức khỏe định kỳ",bs.c6.s1.135@medibook.vn
136,BS. Ngô Hải Trang,2,Tim mạch,6,17,4.1,"Đau ngực, huyết áp, loạn nhịp tim, khó thở",bs.c6.s2.136@medibook.vn
137,BS. Hoàng Văn Minh,2,Tim mạch,6,23,4.6,"Đau ngực, huyết áp, loạn nhịp tim, khó thở",bs.c6.s2.137@medibook.vn
138,BS. Dương Quang Hòa,3,Da liễu,6,28,4.7,"Mẩn ngứa, dị ứng, mụn nhọt, rụng tóc",bs.c6.s3.138@medibook.vn
139,BS. Dương Quỳnh Lan,3,Da liễu,6,29,4.5,"Mẩn ngứa, dị ứng, mụn nhọt, rụng tóc",bs.c6.s3.139@medibook.vn
140,BS. Ngô Ngọc Hùng,4,Cơ xương khớp,6,24,4.9,"Đau lưng, đau khớp, thoái hóa, gout",bs.c6.s4.140@medibook.vn
141,BS. Lê Văn Bình,4,Cơ xương khớp,6,26,4.4,"Đau lưng, đau khớp, thoái hóa, gout",bs.c6.s4.141@medibook.vn
142,BS. Bùi Hải Trang,5,Tiêu hóa,6,30,4.7,"Đau dạ dày, tiêu chảy, táo bón, ợ hơi",bs.c6.s5.142@medibook.vn
143,BS. Đặng Ngọc Trang,6,Tai Mũi Họng,6,9,4.2,"Viêm họng, viêm xoang, ù tai, nghẹt mũi",bs.c6.s6.143@medibook.vn
144,BS. Phạm Ngọc Khang,6,Tai Mũi Họng,6,27,4.3,"Viêm họng, viêm xoang, ù tai, nghẹt mũi",bs.c6.s6.144@medibook.vn
145,BS. Võ Thị Cường,7,Thần kinh,6,27,4.3,"Đau đầu, chóng mặt, mất ngủ, rối loạn tiền đình",bs.c6.s7.145@medibook.vn
146,BS. Huỳnh Hoài Minh,8,Nhi khoa,6,15,4.1,"Sốt, ho, biếng ăn, tiêm chủng trẻ em",bs.c6.s8.146@medibook.vn
147,BS. Hồ Xuân Châu,9,Sản phụ khoa,6,14,4.3,"Khám thai, rối loạn kinh nguyệt, phụ khoa",bs.c6.s9.147@medibook.vn
148,BS. Hoàng Hữu Hòa,10,Nhãn khoa,6,5,4.3,"Cận thị, đục thủy tinh thể, viêm kết mạc",bs.c6.s10.148@medibook.vn
149,BS. Ngô Đức Hương,11,Ung bướu,6,14,4.4,"Tầm soát ung thư, khối u, xạ trị",bs.c6.s11.149@medibook.vn
150,BS. Đặng Thị Lan,11,Ung bướu,6,4,4.0,"Tầm soát ung thư, khối u, xạ trị",bs.c6.s11.150@medibook.vn
151,BS. Võ Đức Dũng,12,Nam khoa,6,18,4.7,"Rối loạn cương dương, hiếm muộn, viêm nhiễm nam khoa",bs.c6.s12.151@medibook.vn
152,BS. Vũ Quang Khang,13,Nha khoa,6,14,4.1,"Sâu răng, nhổ răng, niềng răng, viêm nướu",bs.c6.s13.152@medibook.vn
153,BS. Nguyễn Thanh Linh,13,Nha khoa,6,16,4.6,"Sâu răng, nhổ răng, niềng răng, viêm nướu",bs.c6.s13.153@medibook.vn
154,BS. Hồ Thị Dũng,14,Thận - Tiết niệu,6,22,4.5,"Sỏi thận, tiểu đêm, viêm đường tiết niệu",bs.c6.s14.154@medibook.vn
155,BS. Phạm Minh Bình,15,Hô hấp,6,19,4.1,"Hen suyễn, viêm phế quản, COPD, ho kéo dài",bs.c6.s15.155@medibook.vn
156,BS. Vũ Ngọc Cường,15,Hô hấp,6,23,4.1,"Hen suyễn, viêm phế quản, COPD, ho kéo dài",bs.c6.s15.156@medibook.vn
157,BS. Hoàng Minh Trang,16,Chấn thương chỉnh hình,6,9,4.2,"Gãy xương, bong gân, chấn thương thể thao",bs.c6.s16.157@medibook.vn
158,BS. Huỳnh Thành Yến,16,Chấn thương chỉnh hình,6,21,4.8,"Gãy xương, bong gân, chấn thương thể thao",bs.c6.s16.158@medibook.vn
159,BS. Hoàng Thanh Linh,17,Phục hồi chức năng,6,23,4.3,"Vật lý trị liệu, phục hồi sau tai biến",bs.c6.s17.159@medibook.vn
160,BS. Đỗ Quang Linh,17,Phục hồi chức năng,6,17,4.0,"Vật lý trị liệu, phục hồi sau tai biến",bs.c6.s17.160@medibook.vn
161,BS. Lê Đình Hòa,18,Y học cổ truyền,6,17,4.6,"Châm cứu, bấm huyệt, bốc thuốc nam/bắc",bs.c6.s18.161@medibook.vn
162,BS. Bùi Đình Yến,19,Nội tiết,6,4,4.5,"Tiểu đường, tuyến giáp, rối loạn chuyển hóa",bs.c6.s19.162@medibook.vn
163,BS. Trần Minh Châu,20,Truyền nhiễm,6,19,4.6,"Sốt xuất huyết, viêm gan, bệnh nhiệt đới",bs.c6.s20.163@medibook.vn
164,BS. Hồ Xuân Dũng,21,Dị ứng - Miễn dịch,6,28,4.6,"Dị ứng thời tiết, dị ứng thuốc, lupus",bs.c6.s21.164@medibook.vn
165,BS. Bùi Văn Khang,21,Dị ứng - Miễn dịch,6,11,4.7,"Dị ứng thời tiết, dị ứng thuốc, lupus",bs.c6.s21.165@medibook.vn
166,BS. Hoàng Quỳnh Thảo,22,Dinh dưỡng,6,25,4.7,"Tư vấn chế độ ăn, giảm cân, suy dinh dưỡng",bs.c6.s22.166@medibook.vn
167,BS. Hồ Hải Dũng,1,Nội tổng quát,7,25,4.8,"Sốt, đau đầu, mệt mỏi, khám sức khỏe định kỳ",bs.c7.s1.167@medibook.vn
