id,fullname,email,username,phone,password_hash,created_at,role,cccd,login_count,status,gender,dob
20,BS. Đỗ Thanh Oanh,bs.c1.s15.20@medibook.vn,bsc1s1520,970597444,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163621,doctor,1229927269.0,0.0,,Nữ,1961-01-01
21,BS. Vũ Đình Lan,bs.c1.s15.21@medibook.vn,bsc1s1521,910965138,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163626,doctor,1176228245.0,0.0,,Nam,1964-01-01
22,BS. Bùi Văn Oanh,bs.c1.s16.22@medibook.vn,bsc1s1622,941944441,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163630,doctor,1399012686.0,0.0,,Nam,1990-01-01
23,BS. Lý Thành Bình,bs.c1.s17.23@medibook.vn,bsc1s1723,935556386,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163636,doctor,1201281557.0,0.0,,Nữ,1987-01-01
24,BS. Dương Hoài Tuấn,bs.c1.s18.24@medibook.vn,bsc1s1824,997705310,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163641,doctor,1793830224.0,0.0,,Nữ,1966-01-01
25,BS. Vũ Minh Hương,bs.c1.s18.25@medibook.vn,bsc1s1825,981979055,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163645,doctor,1581695135.0,0.0,,Nữ,1989-01-01
26,BS. Lê Thanh Khang,bs.c1.s19.26@medibook.vn,bsc1s1926,923141087,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163650,doctor,1154318806.0,0.0,,Nam,1965-01-01
27,BS. Huỳnh Xuân Yến,bs.c1.s20.27@medibook.vn,bsc1s2027,974606833,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163655,doctor,1329509408.0,0.0,,Nam,1970-01-01
28,BS. Nguyễn Xuân Hùng,bs.c1.s21.28@medibook.vn,bsc1s2128,971070189,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163660,doctor,1406284028.0,0.0,,Nữ,1969-01-01
29,BS. Phan Đức Hương,bs.c1.s21.29@medibook.vn,bsc1s2129,917849494,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163665,doctor,1721890096.0,0.0,,Nữ,1963-01-01
30,BS. Lý Quang Oanh,bs.c1.s22.30@medibook.vn,bsc1s2230,931130263,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163669,doctor,1161073976.0,0.0,,Nam,1964-01-01
31,BS. Vũ Xuân Trang,bs.c2.s1.31@medibook.vn,bsc2s131,986460539,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163744,doctor,1364371717.0,0.0,,Nam,1986-01-01
32,BS. Võ Minh Dũng,bs.c2.s2.32@medibook.vn,bsc2s232,942035886,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163749,doctor,1385201412.0,0.0,,Nữ,1989-01-01
33,BS. Bùi Quỳnh Linh,bs.c2.s2.33@medibook.vn,bsc2s233,911250299,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163756,doctor,1592080329.0,0.0,,Nam,1964-01-01
34,BS. Võ Hữu Thảo,bs.c2.s3.34@medibook.vn,bsc2s334,919233013,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163761,doctor,1362298393.0,0.0,,Nữ,1994-01-01
35,BS. Nguyễn Hải Khang,bs.c2.s4.35@medibook.vn,bsc2s435,950181935,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163766,doctor,1812308209.0,0.0,,Nam,1976-01-01
36,BS. Phạm Quỳnh Trang,bs.c2.s4.36@medibook.vn,bsc2s436,984252420,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163770,doctor,1266910922.0,0.0,,Nam,1981-01-01
37,BS. Võ Quang Yến,bs.c2.s5.37@medibook.vn,bsc2s537,943704923,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163775,doctor,1154544899.0,0.0,,Nữ,1962-01-01
38,BS. Bùi Thành Minh,bs.c2.s6.38@medibook.vn,bsc2s638,995511909,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163780,doctor,1381272327.0,0.0,,Nữ,1995-01-01
39,BS. Phạm Văn Minh,bs.c2.s7.39@medibook.vn,bsc2s739,983227889,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163786,doctor,1138684919.0,0.0,,Nam,1987-01-01
40,BS. Trần Đức Thảo,bs.c2.s8.40@medibook.vn,bsc2s840,915354599,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163791,doctor,1484194737.0,0.0,,Nam,1982-01-01
41,BS. Hoàng Quỳnh Lan,bs.c2.s9.41@medibook.vn,bsc2s941,931810617,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163797,doctor,1958872154.0,0.0,,Nữ,1961-01-01
42,BS. Huỳnh Tuấn Dũng,bs.c2.s9.42@medibook.vn,bsc2s942,965259205,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163801,doctor,1961393416.0,0.0,,Nam,1977-01-01
43,BS. Phạm Xuân Tuấn,bs.c2.s10.43@medibook.vn,bsc2s1043,973174945,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163806,doctor,1338836384.0,0.0,,Nữ,1982-01-01
44,BS. Vũ Minh Anh,bs.c2.s11.44@medibook.vn,bsc2s1144,998588154,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163810,doctor,1307371533.0,0.0,,Nam,1977-01-01
45,BS. Đỗ Hải Oanh,bs.c2.s11.45@medibook.vn,bsc2s1145,963643924,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163815,doctor,1829627019.0,0.0,,Nam,1967-01-01
46,BS. Huỳnh Đình Hùng,bs.c2.s12.46@medibook.vn,bsc2s1246,915134794,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163819,doctor,1216396351.0,0.0,,Nữ,1987-01-01
47,BS. Phạm Xuân Tâm,bs.c2.s12.47@medibook.vn,bsc2s1247,935511941,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163824,doctor,1373506211.0,0.0,,Nam,1993-01-01
48,BS. Đỗ Xuân Linh,bs.c2.s13.48@medibook.vn,bsc2s1348,999152472,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163829,doctor,1454549587.0,0.0,,Nam,1979-01-01
49,BS. Ngô Ngọc Phương,bs.c2.s14.49@medibook.vn,bsc2s1449,949682169,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163836,doctor,1695295870.0,0.0,,Nữ,1971-01-01
50,BS. Đặng Xuân Khang,bs.c2.s14.50@medibook.vn,bsc2s1450,910054484,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163841,doctor,1426283245.0,0.0,,Nữ,1989-01-01
51,BS. Dương Hải Hương,bs.c2.s15.51@medibook.vn,bsc2s1551,978608612,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163846,doctor,1608079792.0,0.0,,Nam,1965-01-01
52,BS. Đặng Quang Hòa,bs.c2.s15.52@medibook.vn,bsc2s1552,954988206,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163851,doctor,1200273738.0,0.0,,Nam,1979-01-01
53,BS. Phan Hữu Anh,bs.c2.s16.53@medibook.vn,bsc2s1653,916202700,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163856,doctor,1362897676.0,0.0,,Nam,1989-01-01
54,BS. Phan Tuấn Phương,bs.c2.s17.54@medibook.vn,bsc2s1754,976354180,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163862,doctor,1529123992.0,0.0,,Nam,1966-01-01
55,BS. Ngô Minh Cường,bs.c2.s17.55@medibook.vn,bsc2s1755,979519112,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163867,doctor,1598806645.0,0.0,,Nam,1989-01-01
56,BS. Dương Hải Oanh,bs.c2.s18.56@medibook.vn,bsc2s1856,985017682,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163871,doctor,1739362057.0,0.0,,Nữ,1992-01-01
57,BS. Dương Quỳnh Cường,bs.c2.s19.57@medibook.vn,bsc2s1957,973709724,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163877,doctor,1583258726.0,0.0,,Nữ,1993-01-01
58,BS. Lý Hải Lan,bs.c2.s19.58@medibook.vn,bsc2s1958,946855845,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163881,doctor,1572309605.0,0.0,,Nam,1977-01-01
59,BS. Bùi Quỳnh Khang,bs.c2.s20.59@medibook.vn,bsc2s2059,920814950,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163887,doctor,1248578017.0,0.0,,Nam,1973-01-01
60,BS. Lê Xuân Bình,bs.c2.s20.60@medibook.vn,bsc2s2060,954410148,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163891,doctor,1682624278.0,0.0,,Nam,1986-01-01
61,BS. Nguyễn Hoài Tâm,bs.c2.s21.61@medibook.vn,bsc2s2161,961053877,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163897,doctor,1612153089.0,0.0,,Nữ,1984-01-01
62,BS. Ngô Quang Khang,bs.c2.s21.62@medibook.vn,bsc2s2162,990967191,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163902,doctor,1336801619.0,0.0,,Nữ,1991-01-01
63,BS. Hồ Ngọc Phương,bs.c2.s22.63@medibook.vn,bsc2s2263,932151928,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163907,doctor,1601856351.0,0.0,,Nam,1985-01-01
64,BS. Lê Hải Bình,bs.c3.s1.64@medibook.vn,bsc3s164,928213276,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163949,doctor,1595744935.0,0.0,,Nữ,1980-01-01
65,BS. Dương Ngọc Dũng,bs.c3.s2.65@medibook.vn,bsc3s265,960885459,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163955,doctor,1398775766.0,0.0,,Nữ,1976-01-01
66,BS. Lý Thị Khang,bs.c3.s3.66@medibook.vn,bsc3s366,916990811,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163961,doctor,1475767056.0,0.0,,Nam,1961-01-01
67,BS. Phan Hoài Anh,bs.c3.s4.67@medibook.vn,bsc3s467,993394260,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163966,doctor,1263619298.0,0.0,,Nam,1973-01-01
68,BS. Võ Thành Thảo,bs.c3.s5.68@medibook.vn,bsc3s568,932520277,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163971,doctor,1750572325.0,0.0,,Nam,1970-01-01
69,BS. Đặng Văn Tâm,bs.c3.s5.69@medibook.vn,bsc3s569,913446499,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163977,doctor,1434961542.0,0.0,,Nữ,1985-01-01
70,BS. Lê Đình Lan,bs.c3.s6.70@medibook.vn,bsc3s670,923676961,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163982,doctor,1848605284.0,0.0,,Nam,1962-01-01
71,BS. Ngô Hải Thảo,bs.c3.s7.71@medibook.vn,bsc3s771,919255216,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163988,doctor,1643271261.0,0.0,,Nữ,1991-01-01
72,BS. Phạm Xuân Thảo,bs.c3.s7.72@medibook.vn,bsc3s772,995306788,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163994,doctor,1989817696.0,0.0,,Nữ,1971-01-01
73,BS. Lý Thanh Bình,bs.c3.s8.73@medibook.vn,bsc3s873,989520597,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163999,doctor,1388187517.0,0.0,,Nam,1977-01-01
74,BS. Dương Minh Châu,bs.c3.s8.74@medibook.vn,bsc3s874,986483924,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.164004,doctor,1755338677.0,0.0,,Nam,1991-01-01
75,BS. Huỳnh Thanh Hương,bs.c3.s9.75@medibook.vn,bsc3s975,957623800,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.164009,doctor,1956665975.0,0.0,,Nữ,1995-01-01
76,BS. Nguyễn Quang Hương,bs.c3.s9.76@medibook.vn,bsc3s976,921490777,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.164013,doctor,1359154084.0,0.0,,Nam,1990-01-01
77,BS. Dương Thành Anh,bs.c3.s10.77@medibook.vn,bsc3s1077,922489409,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.164019,doctor,1415933049.0,0.0,,Nam,1979-01-01
78,BS. Đỗ Thanh Khang,bs.c3.s10.78@medibook.vn,bsc3s1078,981259135,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.164026,doctor,1469106688.0,0.0,,Nữ,1982-01-01
79,BS. Võ Đức Hùng,bs.c3.s11.79@medibook.vn,bsc3s1179,940942292,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.164032,doctor,1229553265.0,0.0,,Nam,1994-01-01
80,BS. Huỳnh Minh Hương,bs.c3.s11.80@medibook.vn,bsc3s1180,974988034,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.164038,doctor,1396889215.0,0.0,,Nữ,1966-01-01
81,BS. Đặng Minh Thảo,bs.c3.s12.81@medibook.vn,bsc3s1281,934084236,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.164095,doctor,1424557359.0,0.0,,Nam,1977-01-01
82,BS. Trần Quang Hải,bs.c3.s13.82@medibook.vn,bsc3s1382,926948946,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.164138,doctor,1784907325.0,0.0,,Nam,1960-01-01
83,BS. Lý Thanh Châu,bs.c3.s14.83@medibook.vn,bsc3s1483,955728776,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.164147,doctor,1297958983.0,0.0,,Nữ,1967-01-01
84,BS. Lê Xuân Yến,bs.c3.s14.84@medibook.vn,bsc3s1484,919943140,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.164152,doctor,1719571745.0,0.0,,Nam,1969-01-01
85,BS. Lê Minh Trang,bs.c3.s15.85@medibook.vn,bsc3s1585,984903294,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.164157,doctor,1920814900.0,0.0,,Nam,1993-01-01
86,BS. Hồ Thanh Châu,bs.c3.s15.86@medibook.vn,bsc3s1586,949910061,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.164162,doctor,1731924051.0,0.0,,Nam,1966-01-01
87,BS. Phan Đức Linh,bs.c3.s16.87@medibook.vn,bsc3s1687,931079846,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.164168,doctor,1357553274.0,0.0,,Nam,1960-01-01
88,BS. Dương Tuấn Hòa,bs.c3.s17.88@medibook.vn,bsc3s1788,973070585,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.164175,doctor,1412737284.0,0.0,,Nữ,1989-01-01
89,BS. Lê Hải Lan,bs.c3.s17.89@medibook.vn,bsc3s1789,945507920,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.164183,doctor,1945923902.0,0.0,,Nam,1987-01-01
90,BS. Vũ Hải Minh,bs.c3.s18.90@medibook.vn,bsc3s1890,945652586,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.164189,doctor,1987588450.0,0.0,,Nam,1979-01-01
91,BS. Dương Văn Châu,bs.c3.s19.91@medibook.vn,bsc3s1991,950814428,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.164199,doctor,1851333320.0,0.0,,Nữ,1988-01-01
92,BS. Lê Đình Tuấn,bs.c3.s19.92@medibook.vn,bsc3s1992,967985905,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.164208,doctor,1888699799.0,0.0,,Nam,1965-01-01
93,BS. Nguyễn Thành Hùng,bs.c3.s20.93@medibook.vn,bsc3s2093,987342561,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.164221,doctor,1143198431.0,0.0,,Nữ,1993-01-01
